file,chunk_id,content
Searches-Updated-July-2023WM1.pdf,6,"car at the time of the search stay at the car while the search is being done. What if the police come to search the place where I am living? Police officers can come into the place where you are living if they come to: • make an arrest • catch someone who has escaped • prevent violence • stop excessive noise (loud music, parties) • breath test you for drink driving • take alcohol that has been supplied to a minor without supervision. Police can also search the place where you are living if they: • have a warrant • have reason to believe you have drugs • have reason to believe you have an unlawful weapon in the place • have reason to believe that there may be evidence of an offence which may be hidden or destroyed if the police do not search immediately. It is a good idea to follow the police around when they are searching so that you can watch what they do. Sometimes the police may not allow you to do this, BUT you should ask anyway. If they have a warrant, the police must have it with them and some written information about your rights and responsibilities. They must provide you with a copy of the warrant and give you a statement of their specific powers under the warrant. This may include removing tiles, taking pictures and digging in your garden etUc. The pNolice cDan takeE away aRnything illRegal fouEnd durVing a sIeaErch. W If the police have received noise complaints (such as loud music from a CD player) and you have already been warned to turn the music down, the police can: • take away the thing which is making the noise • make it so it can no longer make"
Searches-Updated-July-2023WM1.pdf,7,"sIeaErch. W If the police have received noise complaints (such as loud music from a CD player) and you have already been warned to turn the music down, the police can: • take away the thing which is making the noise • make it so it can no longer make noise (for example take the cord to the CD player) • direct that you not make excessive noise for up to 96 hours. If the police have taken away your CD player or any other thing used to make noise, you can collect it from the police the day following the end of the direction about the noise. What are my rights? You have the right to see the warrant or ask the police why they think they have a right to search you. If the police cannot give you a reason for the search or do not show you the warrant then they have no right to search you, your car or the place where you live. You should tell the police that you are not consenting to the search and are only allowing it because they claim to have a legal right. Do not stop them as you may be charged with obstructing police if you misjudge the situation. You should contact a lawyer afterwards. You have the right to know the identity (name, rank and station) of the police officers that are asking to search you, your car or where you are living. If anything is taken from you, you have the right to know where it is being taken and to be given a receipt for the property. You have the right not to answer any questions BUT you should give your correct name, address and age as you may be breaking the law if you"
Searches-Updated-July-2023WM1.pdf,8,"from you, you have the right to know where it is being taken and to be given a receipt for the property. You have the right not to answer any questions BUT you should give your correct name, address and age as you may be breaking the law if you do not do this. REMEMBER anything you say while a search is being done, will be written down later by the police and used in the police case against you. Treated unfairly? The police should treat you fairly and politely. If they don't, you have the right to complain without the threat of being harassed. It is a good idea to write down exactly what happened including the time and date and the names of any witnesses and the police involved. You should do this as soon as possible. If you were hurt, try to get to a hospital or to a doctor as soon as possible and get some colour photographs of the injuries. You can complain to the Crime and Corruption Commission on © Youth Advocacy Centre Inc. 3 3360 6060 who are not part of the police service, or to the Commissioner of Police on 3364 6464 who must investigate your complaint. Contact one of the agencies below if you want legal advice or some help in making a complaint. Who can help? Youth Advocacy Centre (YAC) www.yac.net.au ...................................................................... 3356 1002 Youth Legal Advice Hotline ...................................................................................................... 1800 527 527 South West Brisbane Community Legal Centre www.communitylegal.org.au .......................... 3372 7677 Logan Youth & Family Legal Service www.yfs.org.au .............................................................. 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au ....................................................................... 1300 651 188 Aboriginal & Torres Strait Islander Legal Service www.atsils.org.au ........................................ 3025 3888 or (free call) 1800 012 255 (24hrs 7 days a week) Refugee and Immigration Legal Service www.rails.org.au ...................................................... 3846"
Searches-Updated-July-2023WM1.pdf,9,3372 7677 Logan Youth & Family Legal Service www.yfs.org.au .............................................................. 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au ....................................................................... 1300 651 188 Aboriginal & Torres Strait Islander Legal Service www.atsils.org.au ........................................ 3025 3888 or (free call) 1800 012 255 (24hrs 7 days a week) Refugee and Immigration Legal Service www.rails.org.au ...................................................... 3846 9300 Translating & Interpreting Services (24hrs) .............................................................................. 131 450 Community Legal Centres (CLCs) see www.naclc.org.au for your nearest CLC This sheet was last reviewed and updated in July 2023.The Youth Advocacy Centre does not accept responsibility for any action or outcome as a result of anyone relying on the information provided. UNDER REVIEW © Youth Advocacy Centre Inc. 4
When-can-I.pdf,0,"When can I? At 10 years old: • you can be charged and taken to court if the police believe you broke the law.1 At 11 years old: • you can have a delivery job (if your parents’ consent) but you cannot work before 6.00am or after 6.00pm.2 At 12 years old: • you must agree before your parents can change and register a different surname.3 At 13 years old: • you can get a part-time job if: • you do not work during any time you are supposed to be in school (until you turn 16)4 • you work for no more than 4 hours a day on a school day between 6am and 10pm5 • you work no more than 12 hours during Monday to Friday in school semesters6 But… outside school days you can work up to 8 hours a day - on school holidays you can work up to a maximum of 38 hours a week. - At 15 years old: • you can get your own Medicare card7 1 Criminal Code Act 1899 (Qld) s 29. 2 Child Employment Regulation 2016 (Qld) ss 4(3), 5, 7(2). 3 Births, Deaths and Marriages Registration Act 2003 (Qld) s 18. 4 Child Employment Act 2006 (Qld) s 11(1). 5 Child Employment Regulation 2016 (Qld) ss 7(1), 9(1)(c). 6 Child Employment Regulation 2016 (Qld) s 9(1)(a). 7 Social Security Act 1991 (Cth) ss 540, 543A, 1067A (definition of ‘independent’). Reviewed 10/07/2025 This sheet is intended to provide general legal information about the law in Queensland. This information is not legal advice. If you have a particular legal problem you should contact a solicitor for legal advice. At the end is a list of agencies that might be able to assist you, including legal agencies. When can I? • if"
When-can-I.pdf,1,"information about the law in Queensland. This information is not legal advice. If you have a particular legal problem you should contact a solicitor for legal advice. At the end is a list of agencies that might be able to assist you, including legal agencies. When can I? • if you have completed year 10 and have a certificate III or IV you can get a full-time or part- time job (you can get a part-time job before this if it is outside school hours)8 • you can get Youth Allowance (if you are regarded as independent). At 16 years old: • you can get Youth Allowance (if certain conditions are met)9 • you can have sex with another person (including same sex) who is also 16 or older, if they agree, without breaking the law10 • you can get a learner driver permit11 • you can enrol to vote but will not be able to vote until you turn 1812 • You can use a social media account.13 At 17 years old: • you can get a provisional driver licence At 18 years old: You are now in control of your life. The law says you are an adult and you don't need your parents' permission to do anything. You can: • be taken to the adult courts if you break the law • be sent to an adult jail if a court orders you to be locked up for an offence • and MUST vote (you must enrol to vote within 21 days of turning 18)14 • buy alcohol and go to a public bar15 • buy cigarettes16 • be held responsible for any agreement you make (for example, if you borrow money, rent a flat, sign any contract)17 8 Education (General Provisions) Act 2006 (Qld) ss 9(2),"
When-can-I.pdf,2,"to vote within 21 days of turning 18)14 • buy alcohol and go to a public bar15 • buy cigarettes16 • be held responsible for any agreement you make (for example, if you borrow money, rent a flat, sign any contract)17 8 Education (General Provisions) Act 2006 (Qld) ss 9(2), 204, 231. S204 speaks to an exemption for traineeships and apprenticeships under Further Education and Training Act 2014 (Qld). 9 Social Security Act 1991 (Cth) ss 540, 543A, 1067A (definition of ‘independent’). 10 Criminal Code Act 1899 (Qld) s 215. 11 Transport (Road Use Management-Driver Licensing) Regulation 2021 (Qld) ss13(1), 23. 12 Electoral Act 1992 (Qld) s 66. 13 Online Safety Act 2021 (Cth) Part 4A. 14 Commonwealth Electoral Act 1918 (Cth) s 93; Electoral Act 1992 (Qld) s 175(2). 15 Liquor Act 1992 (Qld) ss 155, 157. 16 Tobacco and Other Smoking Products Act 1998 (Qld) ss 5 (definition of ‘responsible adult’), 19. 17 Ryder v Wombwell (1868) LR4Exch 90; (1868) 17 LT 609. Law Reform Act 1995 (Qld) s 17. When can I? • get married without anyone’s permission18 • get a tattoo19 • make a valid will20 • buy a can of spray paint21 • change your name without anyone’s permission22 • have your genitalia including the nipples pierced23 • apply for an Australian passport without your parent’s consent.24 At any age: • you can buy condoms • you can open a bank account providing you can sign your own name • you can apply for your own Australian passport (if you are under 18, you will need your parents’ agreement) • you can get legal advice • you can give evidence at court • you can complain about government departments and their staff (police, teachers, child safety officers) or any other agencies you have contact with"
When-can-I.pdf,3,"own Australian passport (if you are under 18, you will need your parents’ agreement) • you can get legal advice • you can give evidence at court • you can complain about government departments and their staff (police, teachers, child safety officers) or any other agencies you have contact with • you can see a doctor and get medical advice and ask to have information about you kept confidential (but this may not happen in certain circumstances particularly if the doctor thinks you are at risk of harm) • you can smoke cigarettes BUT you will be breaking the law if you give or sell a cigarette to a person under 18 • if there is a court application about you being adopted, and you understand what is being proposed, you must be given information and any other support you need and you can have your say about what is proposed for you and the court must consider your views. 18 Marriage Act 1961 (Cth) s 11. 19 Summary Offences Act (Qld) s 19. 20 Succession Act 1981 (Qld) s 9. 21 Summary Offences Act 2005 (Qld) s 23B. 22 Births, Deaths and Marriages Registration Act 2003 (Qld) s 16. 23 Summary Offences Act 2005 (Qld) s 18. 24 Australian Passports Act 2005 (Cth) s 6 (definition of ‘child’), 11. When can I? Who can I contact for support Youth Advocacy Centre (YAC) www.yac.net.au 3356 1002 Aboriginal & Torres Strait Islander Legal Service (24hrs 7 days a week) www.atsils.org.au 3025 3888 or (free call) 1800 012 255 Logan Youth & Family Legal Service www.yfs.org.au 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au 1300 651 188 Hub Community Legal www.hubcommunity.org.au 3372 7677 Youth Legal Advice Hotline (Monday – Thursday 8am – 9pm; Friday 8am – Sunday 5pm) 1800 527 527 Community Legal Centres"
When-can-I.pdf,4,3888 or (free call) 1800 012 255 Logan Youth & Family Legal Service www.yfs.org.au 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au 1300 651 188 Hub Community Legal www.hubcommunity.org.au 3372 7677 Youth Legal Advice Hotline (Monday – Thursday 8am – 9pm; Friday 8am – Sunday 5pm) 1800 527 527 Community Legal Centres (CLCs) see www.naclc.org.au for your nearest CLC About the Youth Advocacy Centre The Youth Advocacy Centre offers free and confidential legal and social support services for young people in Queensland. www.yac.net.au (07) 3356 1002
QMHC_Qld_Trauma_Strategy_FINAL.pdf,0,"The Queensland Trauma Strategy 2024–2029 Acknowledgements Recognition of First Nations peoples We respectfully acknowledge First Nations peoples in Queensland as the Traditional Owners and Custodians © Queensland Mental Health Commission 2024 of the lands, waters and seas. We acknowledge those of the past, who have imparted their wisdom and whose Published by the Queensland Mental Health Commission strength has nurtured this land. We acknowledge Elders July 2024 for their leadership and ongoing efforts to protect and ISBN 978-0-6458941-5-8 promote First Nations peoples and cultures. Queensland Mental Health Commission We recognise that it is our collective effort and responsibility PO Box 13027, George Street QLD 4003 as individuals, communities and governments to ensure equity, recognition and advancement of First Nations Phone: 1300 855 945 Queenslanders across all aspects of society and everyday life. Email: info@qmhc.qld.gov.au We walk together in our shared journey of Reconciliation. An electronic copy of this document is available Recognition of lived-living experience at www.qmhc.qld.gov.au. We acknowledge trauma experienced by individuals, families Feedback and communities across Queensland. We recognise your journey navigating services and systems, and your resilience, We value the views of our readers and invite resourcefulness and strength in the face of adversity. your feedback on this report. We recognise with gratitude the leadership of individuals, Please contact the Queensland Mental Health families, carers and kin with lived-living experience. Commission on 1300 855 945 or via email at Your courage and generosity in sharing your expertise, info@qmhc.qld.gov.au. insights and recommendations are invaluable to advancing toward a more understanding, trauma-informed Queensland. Thank you for your commitment to partnering with us as we move forward together. We sincerely thank the broader Queensland community for its vital contribution to crafting this strategy. Your insights Translation and feedback were foundational in our journey to shape The Queensland Government is committed"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,1,"more understanding, trauma-informed Queensland. Thank you for your commitment to partnering with us as we move forward together. We sincerely thank the broader Queensland community for its vital contribution to crafting this strategy. Your insights Translation and feedback were foundational in our journey to shape The Queensland Government is committed to providing a trauma-informed Queensland. Your courage and openness accessible services to Queenslanders from all culturally in sharing your experiences has guided us towards meaningful and linguistically diverse backgrounds. If you require and impactful change. an interpreter, please contact us on 1300 855 945 and we will arrange one for you. We acknowledge the professionalism and commitment of the mental health, alcohol and other drugs, suicide prevention, and related workforces. We thank you for your concerted efforts to support quality-of-life outcomes for all Queenslanders. The Commission’s role Document licence The Queensland Mental Health Commission (the Commission) is an independent statutory body established to drive This report is licensed by the State of Queensland ongoing reform towards a more integrated, evidence-based, (Queensland Mental Health Commission) under recovery-oriented mental health, alcohol and other drugs, a Creative Commons Attribution 4.0 International and suicide prevention system. (CC BY 4.0) licence. To view a copy of this licence, visit https://creativecommons.org/licenses/by/4.0/. In essence, you are free to copy, communicate and adapt this report as long as you attribute the work to the Queensland Mental Health Commission. Contents Message from the Premier and Minister 2 ............................................................ Foreword: Queensland Mental Health Commissioner 3 ........................... At a glance 4 ........................................................................................................................................ Language matters 6 ..................................................................................................................... What is trauma? 6 .......................................................................................................................... Impacts of trauma 9 .................................................................................................................... What is healing and resilience? 15 .................................................................................. What are trauma-informed approaches? 16 .......................................................... Towards a trauma-informed Queensland 18 ......................................................... The policy landscape 19 ........................................................................................................... Principles 21 ........................................................................................................................................ Focus area 1: Prioritise prevention 22 ......................................................................... Focus"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,2,"........................................................................................................................................ Language matters 6 ..................................................................................................................... What is trauma? 6 .......................................................................................................................... Impacts of trauma 9 .................................................................................................................... What is healing and resilience? 15 .................................................................................. What are trauma-informed approaches? 16 .......................................................... Towards a trauma-informed Queensland 18 ......................................................... The policy landscape 19 ........................................................................................................... Principles 21 ........................................................................................................................................ Focus area 1: Prioritise prevention 22 ......................................................................... Focus area 2: Early support 26 .......................................................................................... Focus area 3: Foster healing 30 ........................................................................................ Focus area 4: Enable reform 34 ......................................................................................... Next steps 39 ..................................................................................................................................... Glossary 40 .......................................................................................................................................... Appendix 1: Types of trauma 42 ....................................................................................... Appendix 2: The policy landscape 44 .......................................................................... References 46 .................................................................................................................................... Need help? 53 .................................................................................................................................... The Queensland Trauma Strategy 2024–2029 1 Message From the Premier and Minister We know that approximately 75 per cent of Australians The diverse needs, perspectives and recommendations have experienced at least one potentially traumatic event of people with lived-living experience have contributed in their lifetime, with many experiencing two or more events. to the development of the strategy, which aims to ensure More than two-thirds will experience a potentially traumatic that all systems—both within and beyond Queensland event by the age of 18 years. Government agencies—are adaptable and responsive to the needs of the individuals, families and communities In recent years, the mental health and wellbeing of we support. Queenslanders has been significantly challenged due to the COVID-19 pandemic, as well as natural disasters The strategy highlights the importance of a comprehensive such as floods and droughts, compounded by the and shared approach within and across all tiers of rising cost of living. government and the community. Our aim is to create a nurturing and resilient Queensland where prevention Despite these hardships, the remarkable resilience and and early support are prioritised. enduring spirit of Queenslanders has shone through, showcasing individual and community strength in the Our government is committed to ensuring that"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,3,"living. government and the community. Our aim is to create a nurturing and resilient Queensland where prevention Despite these hardships, the remarkable resilience and and early support are prioritised. enduring spirit of Queenslanders has shone through, showcasing individual and community strength in the Our government is committed to ensuring that Queenslanders face of adversity. receive the right support, as early as possible, in their community. Our collective effort will be critical in achieving This strategy is supported by the Queensland Government’s this goal, and ensuring a healthier, more supportive future $1.645 billion Better Care Together funding package, for everyone. delivering a significant investment in improving the quality-of-life of all Queenslanders. The Honourable Steven Miles MP The Queensland Trauma Strategy 2024–2029 (the strategy) Premier of Queensland seeks to proactively prevent and reduce trauma, support healing and strengthen systems to provide full support to The Honourable Shannon Fentiman MP individuals, families and carers, and the broader community. Minister for Health, Mental Health and Ambulance Services It aims to create a safety net for all Queenslanders—ensuring and Minister for Women there is no wrong door to access help, but rather a place of welcome and safety, where every interaction offers support. 2 The Queensland Trauma Strategy 2024–2029 Foreword Queensland Mental Health Commissioner Each of us, at some point in our lives, will face moments The strategy prioritises safety and trust, ensuring that of vulnerability, adversity or trauma—whether individually the principle of doing no harm, or no further harm, or collectively—and the experience and impact of trauma is instilled into every interaction and service provided. can vary significantly from person to person. Understanding By supporting the person first—including their extended the diversity in our very human experiences and natural support networks—we can foster a culture of compassion, responses to trauma is critical to reducing"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,4,"impact of trauma is instilled into every interaction and service provided. can vary significantly from person to person. Understanding By supporting the person first—including their extended the diversity in our very human experiences and natural support networks—we can foster a culture of compassion, responses to trauma is critical to reducing stigma and dignity and respect. fostering a safe, compassionate and supportive community. Addressing the root causes of trauma, including the Queenslanders have shared profound insights into their pivotal role of social determinants, is integral to this experiences of trauma within various services and systems. strategy’s success. By focusing on these underlying They emphasised their need to be acknowledged as factors—such as economic stability, education, social individuals, families, carers and communities, with an inclusion, stable and affordable housing, and access to approach that prioritises humanity first. They told us it is care—we aim to reduce the sources of trauma and foster important not to be defined or judged by the challenges a healthier, more resilient and compassionate community. they face, particularly by the systems and services they access for support. This feedback serves as a reminder The strategy also highlights the importance of prevention of the importance of compassionate support and the need and early intervention, aiming to proactively prevent and for safe, welcoming environments. These insights shape reduce the impact of trauma, including reducing stigma our commitment to reforming systems and services, and promoting social inclusivity. where the humanity of every individual and community Extensive consultation has been vital to developing the is seen, heard and valued. strategy, with over 800 individuals, families, carers and The Queensland Trauma Strategy 2024–2029 is stakeholders consulted in communities across the state. Queensland’s whole-of-government, whole-of-community I express my deep thanks to everyone who entrusted us with trauma strategy that takes forward the Queensland their"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,5,"developing the is seen, heard and valued. strategy, with over 800 individuals, families, carers and The Queensland Trauma Strategy 2024–2029 is stakeholders consulted in communities across the state. Queensland’s whole-of-government, whole-of-community I express my deep thanks to everyone who entrusted us with trauma strategy that takes forward the Queensland their stories, recommendations and hope for a better future. Government’s ongoing commitment to enhance the But the work does not stop here. Putting the strategy into wellbeing of all Queenslanders. action requires partnership and collaboration across all Importantly, this strategy emphasises a non-judgemental systems and sectors. By working together, we can achieve and strengths-based approach that reassures us all that a trauma-informed Queensland where every individual, it’s okay to not be okay. family and community has the opportunity to lead healthy and fulfilling lives. The strategy is a proactive and comprehensive commitment to prevent, support and heal from trauma and its impacts. As we developed the strategy, we heard many stories Ivan Frkovic that speak to the strength and resilience of ordinary Queensland Mental Health Commissioner Queenslanders, but equally we heard about the need for more attuned support during times of distress and vulnerability. The Queensland Trauma Strategy 2024–2029 3 At a glance The Queensland trauma strategy Vision A compassionate, supportive and resilient Queensland, where communities are connected, and systems and services prevent, recognise and respond to trauma, ensuring everyone can lead healthy and fulfilling lives Guiding principles The strategy is underpinned by the following guiding principles: Human rights and dignity Social justice and equity Culture matters Hope and healing Lived-living experience led Accountability Inclusive Gender safe and affirming Continuous improvement Person-led, family and friends inclusive Address stigma and discrimination 4 The Queensland Trauma Strategy 2024–2029 saera sucoF Focus area 1 Focus area 2 Prioritise prevention Early support Prioritise the foundations"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,6,"Social justice and equity Culture matters Hope and healing Lived-living experience led Accountability Inclusive Gender safe and affirming Continuous improvement Person-led, family and friends inclusive Address stigma and discrimination 4 The Queensland Trauma Strategy 2024–2029 saera sucoF Focus area 1 Focus area 2 Prioritise prevention Early support Prioritise the foundations Enhance early and for prevention compassionate support Strengthen individual and Holistic and social supports community awareness of trauma Early support, Address and actively challenge including across the life course all types of stigma and discrimination Enhance services Build safe, inclusive and respectful environments and supports Prevent traumatic experiences related to economic, employment and housing insecurity Prevent system-related trauma Focus area 3 Focus area 4 Foster healing Enable reform Reduce the impact of trauma Strengthen the systemic enablers and foster healing for reform Prioritise First Nations’ healing Strengthen human rights approaches to trauma Address system-related Build trauma-informed workforces re-traumatisation Strengthen governance and Strengthen community-led accountability mechanisms and place-based initiatives Prioritise lived-living experience Trauma-informed justice systems leadership and expertise Fund and resource for sustainable implementation Enhance cross-sector partnership and collaboration Improve innovation, evaluation and knowledge translation The Queensland Trauma Strategy 2024–2029 5 What is trauma? At some point in our lives, everyone will experience vulnerability, adversity or trauma in different ways and to different extents. Latest research indicates that approximately 75 per cent of Australians have experienced at least one potentially traumatic event in their lifetime,1 with many experiencing two or more events. More than two-thirds of people will experience a potentially traumatic event by the age of 18 years.2 When talking about trauma, it is important to distinguish emotionally harmful or life-threatening and has a negative between a potentially traumatic circumstance and a effect on a person’s functioning and mental, physical, traumatic response. Trauma is a state of high arousal that"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,7,"traumatic event by the age of 18 years.2 When talking about trauma, it is important to distinguish emotionally harmful or life-threatening and has a negative between a potentially traumatic circumstance and a effect on a person’s functioning and mental, physical, traumatic response. Trauma is a state of high arousal that social, emotional and spiritual wellbeing.4 These experiences is one possible response to a potentially traumatic event differ for everyone and not all individuals exposed to the or circumstance, such as violence, injury or adversity. same event will experience a traumatic response. Trauma may arise from a single experience, a series of events, or ongoing circumstances. While adverse events A degree of distress is very common in the early aftermath and experiences can leave lasting negative effects on of exposure to traumatic circumstances and is a natural physical and/or mental wellbeing, the impacts of trauma human response.5 For most people, experiences of distress are unique to each person. Healing, growth and resilience settle down in the initial days and weeks following the are achievable with timely and appropriate support.3 traumatic event as they come to terms with their experience, using their usual coping strategies and support networks.6 A potentially traumatic event or circumstance can present For some people, feelings of distress can continue well in a range of ways and may involve actual, threatened or after the traumatic event has passed, potentially leading perceived risks of serious harm to an individual’s physical to anxiety, depression or the emergence of post-traumatic or mental health, safety or wellbeing, whether experienced stress disorder (PTSD).7, 8 For the purpose of this strategy, directly or indirectly. A traumatic response is when this the word ‘trauma’ is used to refer specifically to traumatic event or circumstance is experienced as physically and/or responses. Language matters Language is important."
QMHC_Qld_Trauma_Strategy_FINAL.pdf,8,"mental health, safety or wellbeing, whether experienced stress disorder (PTSD).7, 8 For the purpose of this strategy, directly or indirectly. A traumatic response is when this the word ‘trauma’ is used to refer specifically to traumatic event or circumstance is experienced as physically and/or responses. Language matters Language is important. It shapes our perceptions, approaches and responses to trauma, and significantly influences people’s experiences. How we use language can communicate a sense of compassion, safety and care. However, an inappropriate use of language can inadvertently perpetuate harm and stigma. The preferences and interpretations of language can vary significantly among different stakeholders. Currently, there is no clear consensus on the language that is used to talk about trauma and related concepts in Queensland. As our knowledge of trauma, trauma-informed practice and healing is continuously emerging, a shared understanding of trauma and trauma-informed approaches is also evolving. This language is dynamic and continuously progressing. We will continue to work towards a shared and contemporary understanding of key terms and phrases. 6 The Queensland Trauma Strategy 2024–2029 What is trauma? Prevalence and impact of trauma 7 75 Around % of Australians % 1.5 of Australian adults or over million people10 have experienced a traumatic event at will experience PTSD at any given point some point in their life.9 – with rates higher in females.11 More than Queensland 1.8 million is the most disaster-prone state cases in Australia—with 100 of depressive, anxiety, over and alcohol and other drug disorders disaster events could be prevented if childhood maltreatment reported since 2011.14 was eradicated.12 80 70 In Australia, % Up to % of people with problematic AOD use of older adults have experienced have experienced a a traumatic event psychologically traumatic with most experiencing multiple traumas.13 event in their life.15 The Queensland Trauma Strategy 2024–2029 7"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,9,"if childhood maltreatment reported since 2011.14 was eradicated.12 80 70 In Australia, % Up to % of people with problematic AOD use of older adults have experienced have experienced a a traumatic event psychologically traumatic with most experiencing multiple traumas.13 event in their life.15 The Queensland Trauma Strategy 2024–2029 7 What is trauma? Types of trauma Trauma is one possible response to an Trauma can be experienced event or circumstance that is experienced by an individual as physically or emotionally harmful or directly or indirectly.17 life-threatening that has lasting effects Indirect trauma is on a person’s functioning and sometimes referred to mental, physical, social, emotional as vicarious trauma.18 and spiritual wellbeing.16 Trauma exposure may encompass Historical trauma encompasses a a single potentially traumatic exposure generational aspect but is experienced or event, or it may result from repeated by a group of people who share a exposure to the same or multiple common identity or circumstance.20 potentially traumatic events over time. Unresolved historical trauma can be This type of trauma is called passed down across generations and cumulative trauma.19 manifest as intergenerational trauma. Potentially traumatic events Collective trauma involves or experiences involve actual, populations of people who experience threatened or perceived risk a potentially traumatic event together, of serious harm to physical or such as a war, acts of terrorism, mental health, safety or wellbeing.21 or natural disasters.22 Complex trauma involves cumulative System-related trauma can occur traumatic experiences that are from a potentially traumatic event invasive and interpersonal in nature. within a system or institution. These experiences often (but not always) For example, invasive or restrictive occur in childhood and involve feelings practices, child removals, of shame, being unsafe and/or trapped seclusion or intimidation.24 and unable to trust.23 8 The Queensland Trauma Strategy 2024–2029 Impacts of trauma A person’s response to"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,10,"a system or institution. These experiences often (but not always) For example, invasive or restrictive occur in childhood and involve feelings practices, child removals, of shame, being unsafe and/or trapped seclusion or intimidation.24 and unable to trust.23 8 The Queensland Trauma Strategy 2024–2029 Impacts of trauma A person’s response to a potentially traumatic event can be freeze or fawn. This refers to facing the perceived threat shaped by a range of interrelated factors. This may include (fight), leaving the circumstances (flight), being unable genetic factors, specific circumstances surrounding the to move or respond (freeze), or attempting to please event, and what happens in the immediate, short and longer to avoid conflict or threat (fawn). term after the event. It can also include factors such as the intensity of the event, the availability of support, resources Experiences of trauma and traumatic stress can be that the person may have access to, and the individual’s associated with functional and chemical changes in the sense of control or agency over the situation.25, 26 A person’s limbic area and brain stem, particularly when potentially response to these events can occur on a spectrum, and traumatic events occur at key times during brain this continuum of responses is influenced by a complex set development, such as early childhood. Early exposure of biological, psychological and social factors.27 to potentially traumatic events and adversity, especially when prolonged and without support, can heighten Trauma can affect a person’s body, mind, and social, a child’s stress response. This heightened stress can cultural and spiritual life. In the short term, a person may hinder the development of biological systems essential experience different physical responses to potentially for long-term health, such as the neural/nervous systems, traumatic circumstances or experiences, and these immune system, hormonal balance, digestive functions physiological responses are often"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,11,"stress can cultural and spiritual life. In the short term, a person may hinder the development of biological systems essential experience different physical responses to potentially for long-term health, such as the neural/nervous systems, traumatic circumstances or experiences, and these immune system, hormonal balance, digestive functions physiological responses are often described as fight, flight, and cardiovascular health. Prevalence and impact of trauma Children and young people 2 3 Children who are brought Nearly in to the attention of child protection systems as a result of abuse, neglect, Australians have experienced at or parental incapacity are at least least one form of child maltreatment prior to the age of 18.28 9 times more likely to come under the supervision Young people aged 16–24 years By the age of 10–11 years, of youth justice services.32 with experience of 53 child maltreatment are almost % 3 times of Australian children more likely to have a have been exposed to mental health disorder at least two family Nationally, there were than those who do not.29 adversities.30 275,000 Suicide is the leading cause of death notifications of alleged maltreatment of children in young people aged 15–24.31 in 2021–22.33 The Queensland Trauma Strategy 2024–2029 9 Impacts of trauma These experiences can significantly impact a child’s The experience of potentially traumatic events can also development, particularly when the child is subjected to have a range of psychological impacts. For some people, ongoing traumatic events or circumstances, leading to the experience of distress may persist long after the event significant challenges in areas such as organisation, has occurred and result in a diagnosis of a mental illness, emotion recognition and regulation, social skills and which may include an adjustment disorder, anxiety, relationships. Trauma can manifest in physical ways, depression or the development of post-traumatic stress particularly in young"
QMHC_Qld_Trauma_Strategy_FINAL.pdf,12,"event significant challenges in areas such as organisation, has occurred and result in a diagnosis of a mental illness, emotion recognition and regulation, social skills and which may include an adjustment disorder, anxiety, relationships. Trauma can manifest in physical ways, depression or the development of post-traumatic stress particularly in young children, who may struggle to articulate disorder (PTSD).35, 36 PTSD is characterised by at least and process their experiences verbally. These responses one month of intense, disturbing thoughts, images and can vary with developmental age, and in young children, feelings related to their experience, ongoing anxiety and it may appear as emotional or behavioural issues.34 hypervigilance to threat, the re-living of events through flashbacks or nightmares, persistent feelings of sadness, Trauma can disrupt a child’s bond with their primary fear or anger, and thoughts of shame and self-blame.37 caregiver, increasing the risk of long-term hardships. Children may also be diagnosed with trauma-related mental Collectively, these issues can impair cognitive and illness, however the criteria for diagnosis is different to adults. language development, delay learning and skill acquisition, and affect the ability to form relationships and regulate Trauma can also impact a person’s social, cultural and spiritual emotions. Positive childhood experiences, such as life. This includes the way a person thinks, feels and interacts nurturing relationships, stable environments and supportive with others, which also may impact a person’s relationships educational opportunities can significantly protect children with others and influence their help-seeking and engagement from the impacts of early potentially traumatic experiences with support.38, 39 Conversely, engagement with social, cultural and stress. These positive experiences foster resilience, and spiritual activities and communities can promote positive enhancing a child’s ability to cope with challenges, outcomes for people who experience trauma. and promote healthy development. Frequency, severity, duration and whether the type of trauma"
